name,country
Aalto University (Helsinki University of Technology),FINLAND
Aarhus Universitet,DENMARK
Aix-Marseille Université,FRANCE
Alpen-Adria Universitat Klagenfurt,AUSTRIA
American University in Cairo,EGYPT
Aristotle University of Thessaloniki,GREECE
Babeş-Bolyai University,ROMANIA
Bergische Universitat Wuppertal,GERMANY
Binghamton University - SUNY,U.S.A
Boston University,U.S.A
Brandenburgische Technische Universitat Cottbus,GERMANY
Charles University in Prague,CZECH REPUBLIC
Drexel University,U.S.A
Eberhard Karls Universitat Tübingen,GERMANY
ECE Paris- Ecole D'Ingénieurs,FRANCE
Ecole Centrale Paris,FRANCE
Ecole des Hautes Etudes en Sciences Sociales-EHESS,FRANCE
Ecole des Mines d'Ales (Institut Telecom),FRANCE
Ecole des Praticiens du Commerce International-Groupe ESSEC,FRANCE
Ecole Nationale des Ponts et Chaussees (Ecole des Ponts ParisTech),FRANCE
Ecole Nationale Superieure de Techniques Avancees,FRANCE
Ecole Nationale Superieure des Mines de Paris (MINES ParisTech),FRANCE
Ecole Polytechnique,FRANCE
Ecole Pratique des Hautes Etudes (EPHE),FRANCE
Emory University,U.S.A
ESCP Europe,FRANCE
Europos Humanitarinis Universitetas,LITHUANIA
Fachhochschule Oberösterreich,AUSTRIA
Freie Universitat Berlin,GERMANY
Friedrich Alexander Universitat Erlangen-Nürnberg,GERMANY
Friedrich-Schiller-Universitat Jena,GERMANY
George Washington University,U.S.A
"Graduate Institute of International and Development Studies, Geneva",SWITZERLAND
Hamburg University of Technology,GERMANY
Hameen ammattikeakoulu,FINLAND
Hanyang University,KOREA
Hiram College,U.S.A
Hochschule der Medien Stuttgart (HdM),GERMANY
Hochschule Emden/ Leer (University of Applied Sciences Emden/Leer),GERMANY
Hochschule für Angewandte Wissenschaften Hamburg,GERMANY
Hochschule für Wirtschaft und Recht Berlin,GERMANY
Hogeschool Rotterdam,NETHERLANDS
Humboldt Universitat zu Berlin,GERMANY
Indian Institute of Technology Bombay (IITB),INDIA
INSEEC Paris,FRANCE
Institut d'Etudes Politiques de Bordeaux,FRANCE
Institut d'Etudes Politiques de Paris (SciencesPo),FRANCE
Institut National Des Langues Et Civilisations Orientales (INALCO),FRANCE
Institut National des Sciences Appliquées de Lyon (INSA Lyon),FRANCE
Institut National des Sciences Appliquees de Rouen,FRANCE
Institut National des Sciences Appliquees de Strasbourg,FRANCE
Johann Wolfgang Goethe-Universitat Frankfurt am Main,GERMANY
Johannes Gutenberg-Universitat Mainz,GERMANY
Jyvaskylan Yliopisto,FINLAND
Karl-Franzens-Universitat Graz,AUSTRIA
Karlsruher Institüt für Technologie,GERMANY
Keimyung University,KOREA
Keio University,JAPAN
Közep-europai Egyetem,HUNGARY
KU Leuven Antwerp Campus (ex-Lessius Hogeschool),BELGIUM
Ludwig Maximilians Universitat München,GERMANY
LUISS-Libera Universita Internazionale degli Studi Sociale (GUIDO CARLI),ITALY
Malardalen University,SWEDEN
Management Center Innsbruck,AUSTRIA
Middle East Technical University,TURKEY
Monash University,AUSTRALIA
National and Kapodistrian University of Athens,GREECE
National Technical University of Athens,GREECE
Otto-Von-Guericke-Universitat Magdeburg,GERMANY
Panepistimio Kritis,GREECE
Panteion University of Social and Political Science,GREECE
Philipps-Universitat Marburg,GERMANY
Queen's University,CANADA
Reed College,U.S.A
Reykjavik University,ICELAND
Rice University,U.S.A
Roskilde Universitetscenter,DENMARK
Ruhr-Universitat Bochum,GERMANY
RWTH Aachen University,GERMANY
San Diego State University,U.S.A
Sogang University,KOREA
Solvay Brussels School of Economics & Management – Université libre de Bruxelles (ULB),BELGIUM
St. Olaf College,U.S.A
Stockholms Universitet,SWEDEN
Szkola Nauk Spolecznych,POLAND
Tallinn University of Technology,ESTONIA
Technische Universitat Berlin,GERMANY
Technische Universitat Chemnitz,GERMANY
Technische Universitat Darmstadt,GERMANY
Technische Universitat Dortmund,GERMANY
Technische Universitat Kaiserslautern,GERMANY
Technische Universitat München,GERMANY
Technische Universiteit Eindhoven,NETHERLANDS
Telecom ParisTech,FRANCE
Telecom SudParis / Institut Telecom,FRANCE
The State University of New York at Geneseo,U.S.A
The University of Central Lancashire (UCLan),UNITED KINGDOM
Umea Universitet,SWEDEN
Universidad Autonoma de Madrid,SPAIN
Universidad Carlos III de Madrid,SPAIN
Universidad Complutense de Madrid,SPAIN
Universidad de Barcelona,SPAIN
Universidad de Lleida,SPAIN
Universidad de Sevilla,SPAIN
Universidad de Valladolid,SPAIN
Universidad de Vigo,SPAIN
Universidad de Zaragoza,SPAIN
Universidad Pablo de Olavide,SPAIN
Universita Ca Foscari di Venezia,ITALY
"Universita degli Studi ""G. d'Annunzio"" Chieti-Pescara",ITALY
Universita degli Studi del Sannio,ITALY
Universita Degli Studi di Firenze,ITALY
"Università degli Studi di Napoli ""L'Orientale""",ITALY
Universita Degli Studi di Padova,ITALY
Universita Degli Studi di Parma,ITALY
Universita Degli Studi Di Pavia,ITALY
Universita Degli Studi di Rome-La Sapienza,ITALY
Universita Degli Studi di Salerno,ITALY
Universita degli Studi di Verona,ITALY
Universita degli studi Roma Tre,ITALY
Universita di Bologna,ITALY
Universita di Catania,ITALY
Università di Pisa,ITALY
Università per Stranieri di Siena,ITALY
Universitat Augsburg,GERMANY
Universitat Basel,SWITZERLAND
Universitat Bielefeld,GERMANY
Universitat Bonn,GERMANY
Universitat Bremen,GERMANY
Universitat Erfurt,GERMANY
Universitat Göttingen (Georg-August),GERMANY
Universitat Hamburg,GERMANY
Universitat Konstanz,GERMANY
Universitat Leipzig,GERMANY
Universitat Mannheim,GERMANY
Universitat Osnabrück,GERMANY
Universitat Paderborn,GERMANY
Universitat Salzburg,AUSTRIA
Universitat Stuttgart,GERMANY
Universitat Wien,AUSTRIA
Universitat zu Köln,GERMANY
Universitatea Transilvania din Brasov,ROMANIA
Universite Bordeaux 1,FRANCE
Universite de Liege,BELGIUM
Université de Lorraine (Metz),FRANCE
Université de Lorraine (Nancy),FRANCE
Universite de Mons,BELGIUM
Universite de Rouen,FRANCE
Universite de Strasbourg,FRANCE
Universite Paris 1 Pantheon-Sorbonne,FRANCE
Universite Paris Descartes,FRANCE
Université Paris Diderot - Paris 7,FRANCE
Universite Paul Sabatier Toulouse III,FRANCE
Université Saint-Louis (ex-Institute Libre Marie Haps),BELGIUM
Universiteit Antwerpen,BELGIUM
Universiteit Gent,BELGIUM
Universiteit Leiden,NETHERLANDS
Universiteit Utrecht,NETHERLANDS
Universiteit van Tilburg,NETHERLANDS
Universitetet i Bergen,NORWAY
University of Aegean,GREECE
University of Alberta,CANADA
University of Birmingham,UNITED KINGDOM
University of Cyprus,CYPRUS
University of Fribourg,SWITZERLAND
University of Ioannina,GREECE
University of Ionian,GREECE
University of Kent,UNITED KINGDOM
"University of London, Institute of Education",UNITED KINGDOM
University of Macedonia,GREECE
University of Malaga,SPAIN
University of North Carolina at Chapel Hill,U.S.A
University of Oklahoma,U.S.A
University of Oldenburg,GERMANY
University of Oslo,NORWAY
University of Oulu,FINLAND
University of Patras,GREECE
University of Porto,PORTUGAL
University of South Australia,AUSTRALIA
University of Sydney,AUSTRALIA
University of the Peloponnese,GREECE
University of Trento,ITALY
University of Twente,NETHERLANDS
University of Victoria,CANADA
University of Warwick,UNITED KINGDOM
University of Winnipeg,CANADA
Uniwersyet Szczecinski,POLAND
Vrije Universiteit Brussel,BELGIUM
Washington College,U.S.A
West Virginia University,U.S.A
Western Michigan University,U.S.A
Westfälische Wilhelms-Universitat Münster,GERMANY
Westfield State University,U.S.A
Yonsei University School of Business,KOREA
